task,N,Left,Right,Expected
3,1,A,A,same
3,2,A,A,same
3,3,A,A,same
3,4,A,E,same
3,5,A,E,same
3,6,A,E,same
3,7,a,a,same
3,8,a,a,same
3,9,a,a,same
3,10,a,e,same
3,11,a,e,same
3,12,a,e,same
3,13,E,E,same
3,14,E,E,same
3,15,E,E,same
3,16,E,A,same
3,17,E,A,same
3,18,E,A,same
3,19,e,e,same
3,20,e,e,same
3,21,e,e,same
3,22,e,a,same
3,23,e,a,same
3,24,e,a,same
3,25,B,B,same
3,26,B,B,same
3,27,B,B,same
3,28,B,C,same
3,29,B,C,same
3,30,B,C,same
3,31,b,b,same
3,32,b,b,same
3,33,b,b,same
3,34,b,c,same
3,35,b,c,same
3,36,b,c,same
3,37,C,C,same
3,38,C,C,same
3,39,C,C,same
3,40,C,B,same
3,41,C,B,same
3,42,C,B,same
3,43,c,c,same
3,44,c,c,same
3,45,c,c,same
3,46,c,b,same
3,47,c,b,same
3,48,c,b,same
3,49,A,c,different
3,50,A,b,different
3,51,A,b,different
3,52,A,C,different
3,53,A,C,different
3,54,A,c,different
3,55,E,b,different
3,56,E,C,different
3,57,E,c,different
3,58,E,C,different
3,59,E,c,different
3,60,E,B,different
3,61,a,b,different
3,62,a,b,different
3,63,a,B,different
3,64,a,B,different
3,65,a,B,different
3,66,a,B,different
3,67,e,b,different
3,68,e,c,different
3,69,e,c,different
3,70,e,C,different
3,71,e,C,different
3,72,e,B,different
3,73,B,E,different
3,74,B,a,different
3,75,B,a,different
3,76,B,E,different
3,77,B,E,different
3,78,B,a,different
3,79,C,a,different
3,80,C,e,different
3,81,C,e,different
3,82,C,e,different
3,83,C,e,different
3,84,C,a,different
3,85,b,A,different
3,86,b,e,different
3,87,b,a,different
3,88,b,A,different
3,89,b,A,different
3,90,b,E,different
3,91,c,E,different
3,92,c,E,different
3,93,c,A,different
3,94,c,e,different
3,95,c,A,different
3,96,c,A,different
